id,rank,player,age_that_year,hits,year,bats
1,1,Ichiro Suzuki,30,262,2004,L
2,2,George Sisler,27,257,1920,L
3,3,Lefty O'Doul,32,254,1929,L
4,,Bill Terry,31,254,1930,L
5,5,Al Simmons,23,253,1925,R
6,6,Rogers Hornsby,26,250,1922,R
7,,Chuck Klein,25,250,1930,L
8,8,Ty Cobb,24,248,1911,L
9,9,George Sisler,29,246,1922,L
10,10,Ichiro Suzuki,27,242,2001,L
11,11,Babe Herman,27,241,1930,L
12,,Heinie Manush,26,241,1928,L
13,13,Wade Boggs,27,240,1985,L
14,,Jesse Burkett,27,240,1896,L
15,,Darin Erstad,26,240,2000,L
16,16,Rod Carew,31,239,1977,L
17,,Willie Keeler,25,239,1897,L
18,18,Ed Delahanty,31,238,1899,R
19,,Don Mattingly,25,238,1986,L
20,,Ichiro Suzuki,33,238,2007,L
21,21,Hugh Duffy,27,237,1894,R
22,,Harry Heilmann,26,237,1921,R
23,,Joe Medwick,25,237,1937,R
24,,Paul Waner,24,237,1927,L
25,25,Jack Tobin,29,236,1921,L
26,26,Rogers Hornsby,25,235,1921,R
27,27,Kirby Puckett,28,234,1988,R
28,,Lloyd Waner,23,234,1929,L
29,29,Shoeless Joe Jackson,23,233,1911,L
30,30,Earl Averill,34,232,1936,L
31,,Nap Lajoie,26,232,1901,R
32,32,Matty Alou,30,231,1969,L
33,,Earle Combs,28,231,1927,L
34,,Freddie Lindstrom,22,231,1928,R
35,,Freddie Lindstrom,24,231,1930,R
36,36,Tommy Davis,23,230,1962,R
37,,Stan Musial,27,230,1948,L
38,,Pete Rose,32,230,1973,B
39,,Joe Torre,30,230,1971,R
40,,Willie Wilson,24,230,1980,B
41,41,Rogers Hornsby,33,229,1929,R
42,42,Kiki Cuyler,31,228,1930,R
43,,Stan Musial,25,228,1946,L
44,44,Jim Bottomley,25,227,1925,L
45,,Charlie Gehringer,33,227,1936,L
46,,Billy Herman,25,227,1935,R
47,,Rogers Hornsby,28,227,1924,R
48,,Lance Johnson,32,227,1996,L
49,,Nap Lajoie,35,227,1910,R
